# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       5.020964806800e+01 
       1.131335172818e-05       5.407048206557e+01 
       1.221587619877e-05       5.822819066069e+01 
       1.319039970550e-05       6.270562590543e+01 
       1.424266598317e-05       6.752731788101e+01 
       1.537887697396e-05       7.271977200259e+01 
       1.660572938097e-05       7.831147241543e+01 
       1.793045413791e-05       8.433311815128e+01 
       1.936085902737e-05       9.081778242446e+01 
       2.090537469909e-05       9.780108062189e+01 
       2.257310435923e-05       1.053213197032e+02 
       2.437387742372e-05       1.134197377002e+02 
       2.631830745176e-05       1.221408202817e+02 
       2.841785470091e-05       1.315324720917e+02 
       3.068489367268e-05       1.416462093629e+02 
       3.313278604643e-05       1.525374500692e+02 
       3.577595943165e-05       1.642660687077e+02 
       3.862999240274e-05       1.768963504867e+02 
       4.171170631739e-05       1.904975992484e+02 
       4.503926445983e-05       2.051444490304e+02 
       4.863227909323e-05       2.209171463755e+02 
       5.251192705226e-05       2.379022222259e+02 
       5.670107455699e-05       2.561927925814e+02 
       6.122441198393e-05       2.758890441783e+02 
       6.610859938837e-05       2.970989225469e+02 
       7.138242363583e-05       3.199385558200e+02 
       7.707696806873e-05       3.445329780877e+02 
       8.322579570814e-05       3.710167315930e+02 
       8.986514707061e-05       3.995346440949e+02 
       9.703415376577e-05       4.302425403871e+02 
       1.047750691338e-04       4.633080762975e+02 
       1.131335172818e-04       4.989116267498e+02 
       1.221587619877e-04       5.372471946560e+02 
       1.319039970550e-04       5.785234124648e+02 
       1.424266598317e-04       6.229645930980e+02 
       1.537887697396e-04       6.708118484952e+02 
       1.660572938097e-04       7.223242660220e+02 
       1.793045413791e-04       7.777801557747e+02 
       1.936085902737e-04       8.374783607336e+02 
       2.090537469909e-04       9.017396264495e+02 
       2.257310435923e-04       9.709080260151e+02 
       2.437387742372e-04       1.045352448644e+03 
       2.631830745176e-04       1.125468122840e+03 
       2.841785470091e-04       1.211678179508e+03 
       3.068489367268e-04       1.304435249091e+03 
       3.313278604643e-04       1.404223052541e+03 
       3.577595943165e-04       1.511558013390e+03 
       3.862999240274e-04       1.626990836673e+03 
       4.171170631739e-04       1.751108027367e+03 
       4.503926445983e-04       1.884533381343e+03 
       4.863227909323e-04       2.027929376465e+03 
