# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927095396e-03 
       1.131335172818e-05       7.820332150875e-03 
       1.221587619877e-05       8.421675382459e-03 
       1.319039970550e-05       9.069257738142e-03 
       1.424266598317e-05       9.766636451275e-03 
       1.537887697396e-05       1.051763973657e-02 
       1.660572938097e-05       1.132639250769e-02 
       1.793045413791e-05       1.219733201527e-02 
       1.936085902737e-05       1.313524187223e-02 
       2.090537469909e-05       1.414527085000e-02 
       2.257310435923e-05       1.523296544516e-02 
       2.437387742372e-05       1.640429654667e-02 
       2.631830745176e-05       1.766569603315e-02 
       2.841785470091e-05       1.902408711194e-02 
       3.068489367268e-05       2.048692967478e-02 
       3.313278604643e-05       2.206225467586e-02 
       3.577595943165e-05       2.375870883892e-02 
       3.862999240274e-05       2.558560669866e-02 
       4.171170631739e-05       2.755297672555e-02 
       4.503926445983e-05       2.967161933464e-02 
       4.863227909323e-05       3.195316455711e-02 
       5.251192705226e-05       3.441013466194e-02 
       5.670107455699e-05       3.705601741766e-02 
       6.122441198393e-05       3.990533412904e-02 
       6.610859938837e-05       4.297372242605e-02 
       7.138242363583e-05       4.627802054930e-02 
       7.707696806873e-05       4.983636159973e-02 
       8.322579570814e-05       5.366826787025e-02 
       8.986514707061e-05       5.779476319832e-02 
       9.703415376577e-05       6.223848221942e-02 
       1.047750691338e-04       6.702379825136e-02 
       1.131335172818e-04       7.217695031203e-02 
       1.221587619877e-04       7.772619030496e-02 
       1.319039970550e-04       8.370193380185e-02 
       1.424266598317e-04       9.013692506823e-02 
       1.537887697396e-04       9.706641130568e-02 
       1.660572938097e-04       1.045283343129e-01 
       1.793045413791e-04       1.125635329205e-01 
       1.936085902737e-04       1.212159592331e-01 
       2.090537469909e-04       1.305329107459e-01 
       2.257310435923e-04       1.405652819386e-01 
       2.437387742372e-04       1.513678275103e-01 
       2.631830745176e-04       1.629994475163e-01 
       2.841785470091e-04       1.755234890511e-01 
       3.068489367268e-04       1.890080645334e-01 
       3.313278604643e-04       2.035263977469e-01 
       3.577595943165e-04       2.191571778085e-01 
       3.862999240274e-04       2.359849423304e-01 
       4.171170631739e-04       2.541004713049e-01 
       4.503926445983e-04       2.736012061209e-01 
       4.863227909323e-04       2.945916774697e-01 
       5.251192705226e-04       3.171839507921e-01 
       5.670107455699e-04       3.414980769168e-01 
