# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927095214e-03 
       1.131335172818e-05       7.820332150679e-03 
       1.221587619877e-05       8.421675382248e-03 
       1.319039970550e-05       9.069257737915e-03 
       1.424266598317e-05       9.766636451031e-03 
       1.537887697396e-05       1.051763973631e-02 
       1.660572938097e-05       1.132639250741e-02 
       1.793045413791e-05       1.219733201497e-02 
       1.936085902737e-05       1.313524187190e-02 
       2.090537469909e-05       1.414527084964e-02 
       2.257310435923e-05       1.523296544478e-02 
       2.437387742372e-05       1.640429654626e-02 
       2.631830745176e-05       1.766569603271e-02 
       2.841785470091e-05       1.902408711146e-02 
       3.068489367268e-05       2.048692967427e-02 
       3.313278604643e-05       2.206225467531e-02 
       3.577595943165e-05       2.375870883833e-02 
       3.862999240274e-05       2.558560669802e-02 
       4.171170631739e-05       2.755297672486e-02 
       4.503926445983e-05       2.967161933390e-02 
       4.863227909323e-05       3.195316455631e-02 
       5.251192705226e-05       3.441013466108e-02 
       5.670107455699e-05       3.705601741673e-02 
       6.122441198393e-05       3.990533412805e-02 
       6.610859938837e-05       4.297372242498e-02 
       7.138242363583e-05       4.627802054814e-02 
       7.707696806873e-05       4.983636159848e-02 
       8.322579570814e-05       5.366826786891e-02 
       8.986514707061e-05       5.779476319688e-02 
       9.703415376577e-05       6.223848221788e-02 
       1.047750691338e-04       6.702379824969e-02 
       1.131335172818e-04       7.217695031024e-02 
       1.221587619877e-04       7.772619030303e-02 
       1.319039970550e-04       8.370193379977e-02 
       1.424266598317e-04       9.013692506600e-02 
       1.537887697396e-04       9.706641130328e-02 
       1.660572938097e-04       1.045283343103e-01 
       1.793045413791e-04       1.125635329177e-01 
       1.936085902737e-04       1.212159592301e-01 
       2.090537469909e-04       1.305329107427e-01 
       2.257310435923e-04       1.405652819352e-01 
       2.437387742372e-04       1.513678275067e-01 
       2.631830745176e-04       1.629994475124e-01 
       2.841785470091e-04       1.755234890468e-01 
       3.068489367268e-04       1.890080645289e-01 
       3.313278604643e-04       2.035263977421e-01 
       3.577595943165e-04       2.191571778033e-01 
       3.862999240274e-04       2.359849423249e-01 
       4.171170631739e-04       2.541004712990e-01 
       4.503926445983e-04       2.736012061147e-01 
       4.863227909323e-04       2.945916774630e-01 
       5.251192705226e-04       3.171839507851e-01 
       5.670107455699e-04       3.414980769095e-01 
